"","serial","GPS_date_YYYY.MM.DD","GPS_utc_HH.MM.SS","GPS_YYYY.MM.DD_HH.MM.SS","lat","lon","hdop","fix","cog","speed","alt","data_voltage","solar_charge","solar_current","nsats","vdop","geo","activity","inactivity","temperature","time_to_fix","Name"
"271",89460800120136630272,"2022-07-25","21:04:31","2022-07-25 21:04:31",46.9828,-123.974655,1.14,3,0,1.25,69,4.17,5.52,36,12,1.48,NA,0,NA,48,5,665
"272",89460800120136630272,"2022-07-25","20:49:18","2022-07-25 20:49:18",46.982792,-123.974617,1,3,325,0.14,54,4.16,5.55,38,12,1.51,NA,0,NA,47,5,665
"273",89460800120136630272,"2022-07-25","20:34:05","2022-07-25 20:34:05",46.982765,-123.974678,1.04,3,282,0.08,77,4.17,5.61,40,12,1.67,NA,0,NA,46,5,665
"274",89460800120136630272,"2022-07-25","20:18:52","2022-07-25 20:18:52",46.982788,-123.974632,1.24,3,0,0.01,39,4.17,5.57,41,11,2.25,NA,0,NA,49,5,665
"275",89460800120136630272,"2022-07-25","20:03:39","2022-07-25 20:03:39",46.982666,-123.974739,1.36,3,0,0.04,44,4.17,5.48,42,10,2.62,NA,0,NA,54,5,665
"276",89460800120136630272,"2022-07-25","19:48:26","2022-07-25 19:48:26",46.98278,-123.974632,1.36,3,0,0.05,38,4.17,5.45,43,10,3.01,NA,0,NA,55,5,665
"277",89460800120136630272,"2022-07-25","19:33:13","2022-07-25 19:33:13",46.982738,-123.974716,0.92,3,0,0.06,61,4.17,5.44,43,12,1.63,NA,0,NA,55,6,665
"278",89460800120136630272,"2022-07-25","19:18:06","2022-07-25 19:18:06",46.982887,-123.974724,0.87,3,0,0.05,68,4.16,5.46,44,12,1.27,NA,0,NA,52,5,665
"279",89460800120136630272,"2022-07-25","19:02:53","2022-07-25 19:02:53",46.982922,-123.97467,0.88,3,20,0.06,73,4.15,5.55,46,12,1.44,NA,0,NA,48,5,665
"280",89460800120136630272,"2022-07-25","18:47:40","2022-07-25 18:47:40",46.982868,-123.974663,0.74,3,0,0.08,95,4.17,5.62,47,12,1.14,NA,0,NA,48,5,665
"281",89460800120136630272,"2022-07-25","18:32:27","2022-07-25 18:32:27",46.982826,-123.974663,0.83,3,8,0.3,89,4.15,5.64,47,12,1.31,NA,0,NA,48,5,665
